Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,100 nf,C1525
C2,0402,1,4.7 uf,C23733
"C3, C6",0402,2,1uF 25v,
"C4, C5, C7",0402,3,10uF,
C8,0402,1,100nF,C1525
D1,RS-C1415MBAR,1,LED_RGBK,C2874181
J1,USB_C_Receptacle_Hroparts_TYPE-C-31-M-12,1,TYPE-C-31-M-12,C165948
L1,74438343022_L,1,74438343022 2.2uH,C92923
R10,0402,1,6.8k,C25744
"R11, R6",0402,2,51,C25125
"R12, R13, R7, R8",0402,4,30,C270617
"R2, R3",0402,2,5.1k,
"R4, R5, R9",0402,3,10k,C25744
SW1,TS-1089S-02526,1,SW_Push,C455282
U1,SOT-666,1,USBLC6-2P6,
U2,QFN-28_4x4mm_P0.5mm,1,STM32C071GBUx,C42113261
U3,BQ25180,1,BQ25180,C3682423
U4,SNT-6A-A-PKG_PG006-A-P-SD-2.1_ABL,1,S-85S1AB33-I6T1U,C7070110
U7,LGA-12_2x2mm_P0.5mm,1,MC3479,
