Designator,Mid X,Mid Y,Rotation,Layer
C1,49.925,-31.035,0.0,bottom
C2,49.925,-31.325,180.0,top
C3,49.68,-22.595,180.0,bottom
C4,47.26,-31.105,270.0,bottom
C5,51.495,-22.594998,0.0,bottom
C6,51.692499,-21.224998,270.0,bottom
C7,44.32,-31.47,270.0,top
C8,54.94,-28.94,90.0,bottom
D1,45.965,-28.285,180.0,top
J1,49.76,-23.98,180.0,top
J3,49.725,-18.415,90.0,top
J4,53.95,-32.725,135.0,top
J5,54.848544,-31.826464,225.0,top
J6,50.093269,-32.785,90.0,top
L1,45.81,-31.435,270.0,top
R10,51.76,-31.335,0.0,top
R11,53.305,-29.535,180.0,bottom
R12,52.56,-30.67,180.0,bottom
R13,45.165,-24.08,0.0,bottom
R2,54.13,-24.085,0.0,bottom
R3,47.09,-22.955,180.0,bottom
R4,47.525,-22.02,0.0,bottom
R5,47.775,-21.085,0.0,bottom
R6,45.000001,-28.675002,0.0,bottom
R7,45.0,-27.745,0.0,bottom
R8,46.42,-29.14,270.0,bottom
R9,47.035,-24.1,0.0,bottom
SW1,49.76,-29.22,0.0,top
U1,50.525,-24.22,0.0,bottom
U2,49.75,-27.95,180.0,bottom
U3,50.497499,-21.134999,180.0,bottom
U4,45.3352,-31.395,0.0,bottom
U7,54.2425,-28.735,0.0,top
